"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::statement","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::statements","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::switchStatement","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::synchro","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::thisAccess","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::throwStatement","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::tryBlock","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::tryWithResource","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::typeAccess","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::typeParameter","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::variableRead","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::variableWrite","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::whileLoop","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::wildcardReference","spoon.reflect.visitor.CtScanner#enter(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::e"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::annotation","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::annotationFieldAccess","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::annotationMethod","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::annotationType","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::anonymousExec","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::arrayRead","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::arrayWrite","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::asserted","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::assignement","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::assignment","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::block","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::breakStatement","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::c","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::caseStatement","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::catchBlock","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::catchVariable","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::comment","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::conditional","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::continueStatement","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::ctClass","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::ctConstructorCall","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::ctEnum","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::ctPackage","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::doLoop","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::enumValue","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::expression","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::f","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::fieldRead","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::fieldWrite","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
"spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::forLoop","spoon.reflect.visitor.CtScanner#exit(spoon.reflect.declaration.CtElement)::1"
